Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Afghanistan,AFG,12528.0165,12307.0638,11370.4531,11390.8748,11290.6882,11635.6594,12505.9308,13343.25,13530.953,13842.7381,14709.884,14654.374,14770.2643,14849.1594,15272.633,15288.7756,15554.4294997907,17791.3299018728,17981.3072867677,18168.8632027705,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Albania,ALB,11112.72956,8273.6324,6227.1532,6067.1799,6793.7963,6421.5713,6187.3841,5500.607,8389.2767,7503.05976,7834.0157,7401.10155,8308.3856,8027.14955,9879.3935,8136.785,8108.81238694848,8506.99603431525,8712.29636455369,8898.64091140274,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Algeria,DZA,106445.8175,111649.003,121636.28,122490.489,118601.888,123799.179,123728.789,123971.393,133778.197,131222.654,139592.331,139846.684,146241.499,151655.372,157333.425,160415.277,160849.926561587,167674.633000695,172303.509195404,176471.226769797,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,American Samoa,ASM,20.3813783,20.9670057,21.5104445,21.9988903,22.4541277,22.8843444,23.263078,23.6153334,47.656033,51.34821,51.838339,52.320385,52.801179,53.30204,53.913983,54.616323,54.9893494063012,56.6374866017899,57.7435092847854,58.7655192902151,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Angola,AGO,50806.5426914,43761.081269,64997.83986,39775.10719,44657.243349,48230.298638,47136.215785,33091.22462,34780.6811,34490.369,35858.015,36860.2334,35855.7384,36375.822,36690.534,37396.294,38309.4651264052,40029.3921005695,40878.6519582578,41657.1648460299,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Antigua and Barbuda,ATG,372.28777,373.358162,371.519605,359.195,380.851656,391.94411,390.009674,362.381053,398.694259,406.432042,418.837958,449.002494,454.070617,463.565714,478.083878,491.89739,493.441214713815,521.051312844337,537.80583894233,552.747914304263,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Argentina,ARG,266555.03,267188.7341,272139.1851,276522.7527,270948.3575,275096.4092,288246.2679,299708.76,331450.87,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.065636756,364684.253845885,372873.14375805,380295.320368897,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Armenia,ARM,24729.9166,25425.6997,14512.5941,8362.9081,6107.5421,6710.3697,5992.235,6719.5874,6867.7102,6460.2393,6973.88104,7633.471,8401.8162,8743.5088,9323.71758,12469.983,11235.0892664869,11393.0393525219,12417.7361164488,12319.3896093062,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Aruba,ABW,642.997262,652.026274,689.622462,712.920215,728.555776,731.757231,209.925714,972.6249,272.910521,280.555868,280.363075,281.1977,286.973571,307.739311,343.654819,365.627213,366.241353554348,387.904772272898,401.203383231042,413.035551253609,..,..,..,..
